gender,degree,born,Family_income,nation_race,nation_welfare,Assistance_to_the_poor,social_security,natcrime,natdrug,Immigration,relig,religinf,opsex,homo_marriage,abortion,age_group,race
Female,High School,Yes,NA,Too little,Too little,NA,Too little,About right,1,NA,Catholic,Neither,Not important at all,Strongly agree,NA,60-69 years old,White
Male,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,NA,None,NA,NA,NA,NA,60-69 years old,White
NA,Less than high school,NA,Refused,Too little,Too little,NA,Too little,Too little,1,NA,NA,NA,NA,Strongly agree,NA,NA,White
NA,Less than high school,NA,Refused,NA,NA,Too little,Too little,NA,NA,NA,NA,NA,NA,NA,NA,NA,White
Female,High School,No,NA,Too little,About right,NA,Too little,About right,2,Strongly disagree,Christian,Neither,NA,Neither,NA,NA,Black
Female,Bachelors,Yes,NA,About right,About right,NA,Too little,Too little,1,Neither,Christian,Agree,NA,Neither,NA,30-39 years old,Black
Male,High School,No,"$90,000 ~ $129,999",Too little,Too little,NA,About right,Too little,1,Neither,Catholic,Disagree,NA,NA,NA,20-29 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,About right,Too little,NA,NA,Agree,Christian,Neither,NA,Strongly agree,Yes,NA,White
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,None,Agree,Not important at all,NA,NA,70-79 years old,White
Female,Bachelors,No,"Under $10,000",NA,NA,Too much,About right,NA,NA,NA,Christian,Strongly agree,Fairly important,Strongly disagree,Yes,60-69 years old,Asian
Male,Less than high school,Yes,"$60,000 ~ $89,999",Too much,Too little,NA,Too little,Too little,1,Strongly agree,None,Agree,NA,Strongly agree,NA,30-39 years old,White
Male,High School,No,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Muslim/Islam,Neither,Not very important,Neither,No,20-29 years old,White
Female,Graduate,Yes,"$170,000 or over",Too little,About right,NA,About right,About right,1,NA,Christian,Neither,Very important,Strongly agree,NA,70-79 years old,Asian
Male,High School,Yes,NA,Too little,Too little,NA,About right,About right,2,Strongly disagree,Christian,Neither,NA,Strongly agree,NA,20-29 years old,White
Male,Graduate,Yes,"$170,000 or over",Too little,About right,NA,About right,About right,1,Neither,Catholic,Neither,NA,NA,NA,70-79 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,About right,NA,NA,NA,None,Agree,Not important at all,Strongly agree,Yes,20-29 years old,White
Female,High School,No,"$20,000 ~ $39,999",About right,About right,NA,About right,Too little,1,NA,Christian,Neither,Not important at all,Strongly disagree,NA,60-69 years old,White
Female,Associate College,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Catholic,Agree,Not important at all,Strongly agree,Yes,50-59 years old,White
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Agree,Fairly important,NA,NA,20-29 years old,White
Female,Graduate,No,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,Strongly disagree,None,Strongly agree,NA,Strongly agree,Yes,30-39 years old,White
Male,Bachelors,Yes,Refused,NA,NA,Too little,Too little,NA,NA,NA,None,NA,Not important at all,Agree,Yes,NA,White
Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,Too little,Too little,1,Disagree,None,Agree,NA,NA,NA,30-39 years old,Asian
Female,Bachelors,Yes,"$170,000 or over",Too little,Too much,NA,Too little,Too little,1,NA,Catholic,Strongly disagree,Not important at all,Neither,NA,50-59 years old,White
Female,Bachelors,Yes,"Under $10,000",Too little,About right,NA,Too little,Too much,1,NA,Christian,Neither,Not important at all,Strongly agree,NA,30-39 years old,Other
Male,Associate College,Yes,"$130,000 ~ $169,999",Too little,About right,NA,Too little,Too little,2,Strongly disagree,None,Strongly agree,NA,Strongly agree,NA,30-39 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,NA,Jewish,Neither,Not important at all,NA,NA,50-59 years old,White
Female,Graduate,No,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Fairly important,Strongly agree,Yes,40-49 years old,White
Female,Graduate,No,"$170,000 or over",NA,NA,Too little,About right,NA,NA,Strongly disagree,Christian,Disagree,NA,Strongly agree,Yes,40-49 years old,Asian
Male,High School,Yes,NA,Too little,Too little,NA,NA,About right,3,Disagree,None,Neither,NA,NA,NA,30-39 years old,Other
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Disagree,Not important at all,NA,NA,60-69 years old,White
Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,Strongly disagree,Muslim/Islam,Agree,NA,Agree,Yes,30-39 years old,Asian
Female,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,Neither,Catholic,Neither,NA,Strongly agree,Yes,50-59 years old,White
Male,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too much,1,Strongly disagree,None,Neither,NA,Strongly agree,NA,30-39 years old,White
Male,Bachelors,Yes,"$130,000 ~ $169,999",Too much,Too much,NA,About right,Too little,1,NA,Catholic,Agree,Not very important,Neither,NA,50-59 years old,White
Female,High School,Yes,"$90,000 ~ $129,999",Too little,About right,NA,About right,Too little,2,NA,None,Neither,Not important at all,Strongly agree,NA,NA,White
Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,NA,NA,60-69 years old,White
Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Not important at all,Strongly agree,Yes,60-69 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",About right,About right,NA,About right,About right,1,Disagree,None,Strongly agree,NA,Strongly agree,NA,40-49 years old,White
NA,Less than high school,NA,Refused,NA,NA,Too little,About right,NA,NA,NA,NA,NA,NA,Strongly agree,Yes,NA,White
Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,About right,Too much,NA,NA,NA,None,Agree,Not important at all,NA,NA,20-29 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,About right,NA,About right,About right,2,Disagree,None,Strongly agree,NA,NA,NA,50-59 years old,White
Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,Jewish,Disagree,Fairly important,NA,NA,50-59 years old,White
Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Strongly agree,Fairly important,Strongly agree,Yes,20-29 years old,Other
Male,Graduate,Yes,"$170,000 or over",About right,About right,NA,About right,Too little,1,NA,Christian,NA,NA,Agree,NA,50-59 years old,White
Female,High School,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Catholic,Neither,Not important at all,Neither,No,20-29 years old,Hispanic
Male,Bachelors,Yes,NA,NA,NA,Too little,Too little,NA,NA,Disagree,Christian,Neither,NA,Strongly agree,No,30-39 years old,Black
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,Too little,1,NA,None,Agree,Not important at all,Strongly agree,NA,20-29 years old,Black
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Neither,Not important at all,NA,NA,30-39 years old,White
Male,Graduate,No,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,Agree,None,Neither,NA,Agree,No,50-59 years old,Asian
Male,Graduate,Yes,"$170,000 or over",Too little,Too little,NA,Too little,Too much,1,NA,Catholic,Neither,NA,Strongly agree,NA,40-49 years old,White
Female,Bachelors,No,"$20,000 ~ $39,999",Too little,About right,NA,Too little,About right,1,NA,Catholic,Neither,Not very important,Neither,NA,40-49 years old,Asian
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Not very important,Strongly agree,Yes,30-39 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,About right,NA,About right,About right,1,NA,Catholic,Agree,NA,NA,NA,20-29 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,Too little,1,NA,Christian,Disagree,Not important at all,Strongly agree,NA,60-69 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,Neither,None,Neither,NA,Agree,Yes,80-89 years old,Other
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,None,Agree,Not important at all,NA,NA,NA,White
Male,Less than high school,No,"$20,000 ~ $39,999",About right,About right,NA,About right,About right,2,NA,Catholic,Agree,Not important at all,Strongly agree,NA,50-59 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Not important at all,NA,NA,80-89 years old,White
Male,Associate College,Yes,"$130,000 ~ $169,999",About right,Too much,NA,Too little,Too little,2,NA,Catholic,Neither,Not important at all,Strongly agree,NA,50-59 years old,White
Male,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too much,NA,About right,Too little,1,Agree,Christian,Strongly disagree,NA,NA,NA,70-79 years old,White
NA,High School,Yes,NA,NA,NA,About right,NA,NA,NA,NA,Christian,Strongly disagree,Not very important,Strongly disagree,No,NA,White
Male,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,Disagree,Christian,NA,NA,Strongly agree,Yes,NA,Asian
Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,NA,NA,Strongly disagree,No,NA,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,About right,1,Strongly disagree,Other,Agree,NA,NA,NA,40-49 years old,White
Male,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Strongly agree,Not important at all,NA,NA,60-69 years old,White
Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,None,Disagree,Fairly important,NA,NA,50-59 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,About right,2,NA,None,Neither,Fairly important,Strongly agree,NA,NA,White
Female,Less than high school,Yes,NA,Too little,About right,NA,About right,About right,1,Disagree,Christian,NA,NA,NA,NA,50-59 years old,Hispanic
Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,Agree,Christian,Strongly disagree,NA,Agree,Yes,50-59 years old,Asian
Female,High School,No,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Catholic,Disagree,Very important,NA,NA,50-59 years old,Hispanic
Male,High School,No,"$60,000 ~ $89,999",NA,NA,Too little,Too much,NA,NA,Strongly disagree,None,Strongly agree,NA,Strongly agree,Yes,50-59 years old,Hispanic
Male,High School,Yes,"$130,000 ~ $169,999",Too much,Too much,NA,Too much,Too little,2,NA,Catholic,Neither,Not very important,Agree,NA,60-69 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,NA,Christian,Strongly disagree,Essential,NA,NA,60-69 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,About right,1,Strongly disagree,None,Strongly agree,NA,Strongly agree,NA,30-39 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,NA,Too little,About right,1,Neither,Christian,Disagree,NA,NA,NA,70-79 years old,White
Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Neither,Christian,Neither,NA,NA,NA,60-69 years old,Black
Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Fairly important,Strongly agree,No,40-49 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,About right,NA,About right,Too little,1,NA,Catholic,Neither,Not very important,Strongly agree,NA,70-79 years old,White
Male,Bachelors,Yes,NA,NA,NA,Too little,Too little,NA,NA,Disagree,Catholic,Agree,NA,Strongly agree,Yes,40-49 years old,White
Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Neither,Yes,60-69 years old,Black
Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,About right,2,NA,Christian,Agree,Fairly important,Strongly agree,NA,30-39 years old,Black
Male,High School,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Not important at all,NA,NA,20-29 years old,Black
Male,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,About right,About right,2,Disagree,Catholic,Strongly agree,NA,Agree,NA,60-69 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,Disagree,Fairly important,Agree,NA,70-79 years old,White
Male,High School,Yes,"$170,000 or over",Too little,About right,NA,Too little,Too much,3,Disagree,None,Strongly agree,NA,Strongly agree,NA,40-49 years old,White
Female,Bachelors,Yes,"$170,000 or over",Too little,About right,NA,About right,Too little,1,Disagree,Catholic,Neither,NA,NA,NA,50-59 years old,White
